id,guild_id,spawn_channel,enabled,silent
66,1411810219901845505,1428936765812641945,t,f
67,1419503211265654806,1419503452891123712,t,f
69,1430347447174955022,1433587586416508978,t,f
82,1271660398206128210,1271661489358377070,t,f
70,1444270199510405190,1444272217956548710,t,f
68,1444084145755263038,1444084581765615668,t,f
71,682767501968277577,1436444928459804672,t,f
72,1406339562623602841,1444419080953270372,t,f
103,1456090119005143174,1456093747258462326,t,f
63,1412247971180969996,1443761185403965511,t,f
74,1323070206750494730,1444538691555950692,t,f
76,1430307951192703097,1430308662655844563,t,f
77,1437979530030481563,1437985341624680549,t,f
78,1115283161098768424,1444715433855942736,t,f
79,1443423235201826878,1444221110639001673,t,f
83,1330218924918444163,1330220035360165992,t,f
84,887866857514741802,887866858294878220,t,f
85,1291004697414471751,1445514526773743751,t,f
96,1396651240284225556,1454151936101187685,t,f
73,1381425423224930335,1454265626205093888,t,f
75,1208903745497468989,1445783804068233217,t,f
87,1159607003920998482,1444790934469607628,t,f
59,899517790279589938,1443630635020451870,t,f
37,1415429130362552372,1443308250677121034,t,f
88,1442350469644157104,1447234493290123427,t,f
3,1425479598040289345,1425757746568888432,t,f
89,1446689360094302226,1447395937759531038,t,f
86,1436928760619204701,1436928761395413074,t,f
21,1334567139318829176,1450190327389491272,t,f
90,1449439399635849228,1450858000758739146,t,f
5,1406442676580253867,1442943650614214707,t,f
52,1325255199505252402,1451392498055381084,t,f
91,1417193141882196112,1417931835639468153,t,f
45,1429232960917209150,1451838124169891945,t,f
92,1452121876997345292,1452124716969103440,t,f
1,1440962506796433519,1442500524497702972,t,f
98,1370770473566212127,1420907294148792483,t,f
99,1331059958258860152,1455738919202062336,t,f
104,1112012189868503100,1456313473171718176,t,f
101,1345600608966807564,1402793103953363096,t,f
100,1259167876733206578,1339310007212048425,t,f
102,1293970001988161668,1307461923926835252,t,f
105,1023820120105164810,1334253465500909751,t,f
106,1331925375420465162,1331925375420465164,t,f
107,1438994066707583150,1456733623540514908,t,f
108,1456018811810484283,1456026693767528468,t,f
110,1430893413523263584,1430893414454394892,t,f
111,1423556829203533966,1424336711579603048,t,f
112,1444334764416045222,1457393247084089470,t,f
113,1382219771017297950,1409167958873342086,t,f
115,1381104568854642739,1459581520015655115,t,f
116,1391492293311074354,1391516820481118208,t,f
117,497278883285041156,497278884077633557,t,f
118,469201116647915522,1379056095632560248,t,f
119,1348020840762966056,1459615256392241369,t,f
120,1418667197227864147,1459615943402455256,t,f
