id,discord_id,donation_policy,privacy_policy,mention_policy,friend_policy,trade_cooldown_policy,extra_data,coins
392,822230887608877117,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T10:48:50.521579""}",0
396,1011335871393443852,1,2,1,1,1,"{""last_claim_date"": ""2026-01-10T11:10:52.547417""}",0
385,1321074055650082898,1,1,1,1,1,"{""last_claim_date"": ""2026-01-06T11:23:42.681899""}",69500
355,616781666542944278,1,2,1,1,1,{},202800
390,1097552012645765141,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T10:07:33.854638""}",1200
402,1267210004222578720,1,2,1,1,1,{},2000
393,820301258702979162,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T11:57:46.165750""}",0
391,931765048236445766,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T10:37:08.874697""}",7700
407,1455795833600610359,1,2,1,1,1,{},0
319,814022291973079060,1,2,1,1,1,"{""last_claim_date"": ""2026-01-15T14:49:40.536747""}",30000
399,1270435588302049451,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T14:15:37.900097""}",67000
403,1248939782298669193,1,2,1,1,1,"{""last_claim_date"": ""2026-01-16T07:25:52.012438""}",0
398,1397220818462703629,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T13:12:05.016523""}",4300
404,935835690355277895,1,2,1,1,1,"{""last_claim_date"": ""2026-01-06T17:05:38.672153""}",0
332,819964456665874433,1,1,1,1,1,"{""last_claim_date"": ""2026-01-15T11:43:07.776857""}",4750
335,908411348071899166,1,2,1,1,1,"{""last_claim_date"": ""2026-01-08T15:11:12.914473""}",0
384,757785365817065551,1,2,1,1,1,"{""last_claim_date"": ""2026-01-07T11:18:38.454970""}",11500
408,1026525439386194041,1,2,1,1,1,{},0
409,858088924287467570,1,2,1,1,1,{},0
344,491360321353547777,1,2,1,1,1,"{""last_claim_date"": ""2026-01-16T01:14:08.841268""}",0
411,1320421308831367250,1,2,1,1,1,"{""last_claim_date"": ""2026-01-11T11:30:02.746982""}",0
57,777658696678244403,1,1,1,1,1,"{""last_claim_date"": ""2025-12-17T21:28:40.841209""}",959200
382,1189954248478306418,1,2,1,1,1,"{""last_claim_date"": ""2026-01-07T14:08:24.193811""}",142000
413,1216696464189820951,1,2,1,1,1,{},0
418,1328906277438492825,1,2,1,1,1,{},0
419,798207805127131206,1,2,1,1,1,"{""last_claim_date"": ""2026-01-07T20:04:38.308371""}",0
420,742096693561917451,1,2,1,1,1,{},0
